scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
RN,22,R1,540,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,7,2,0,,FALSE,No,FALSE,,0,3,,,,
SZ,22,B2,1599,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,,TRUE,D,TRUE,,0,4,,,Missed intake a lot,
RL,22,B1,3373,R2,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,,0,3,,,"Coral intake stuck in robot + tippy, okish defense",
JY,22,R2,1731,R2,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,,0,3,,,"defense, coral may have gotten stuck o just faile",
SR,23,R1,1086,R2,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,1,1,0,0,0,,FALSE,P,FALSE,,0,3,,,,
YR,23,B3,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,2,,FALSE,P,FALSE,,0,3,,,,
JY,23,R2,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,,FALSE,P,FALSE,,0,3,,,Kitbot,
RL,23,B1,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,0,1,0,,FALSE,No,FALSE,,0,2,,,"Elevator slow asf, wobbly in all directions",
SZ,23,B2,3361,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,4,,,Attempted defense?,
WR,23,R3,9003,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,,FALSE,P,FALSE,,0,2,,,,
JY,24,R2,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,2,,,,
SR,24,R1,404,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,4,0,0,0,0,,FALSE,No,FALSE,,0,1,,,,
WR,24,R3,404,,FALSE,TRUE,0,0,0,0,TRUE,FALSE,3,0,4,0,0,0,0,,FALSE,No,FALSE,,0,4,,,,
SZ,24,B2,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,,FALSE,P,FALSE,,0,4,,,,
YR,24,B3,346,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,,FALSE,P,FALSE,,0,1,,,,
RL,24,B1,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,2,,,,
YR,25,B3,449,R1,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,5,3,2,,FALSE,P,FALSE,,0,4,,,,
WR,25,R3,1262,,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,0,0,,FALSE,No,FALSE,,0,2,,,,
SZ,25,B2,2106,R3,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,5,0,2,0,,FALSE,P,FALSE,,0,5,,,,
SR,25,R1,540,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,,FALSE,No,FALSE,,0,2,,,,
RL,25,B1,9214,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,,
JY,25,R2,10224,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,,FALSE,No,FALSE,,0,3,,,,
YR,26,B3,3361,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,1,,,,
SZ,26,B2,1086,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,,FALSE,P,FALSE,,0,5,,,,
JY,26,R2,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,,FALSE,P,FALSE,,0,1,,,,
RL,26,R1,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,1,0,,FALSE,P,FALSE,,0,3,,,,
WR,26,R3,10370,,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,,0,1,,,,
SY,26,B1,617,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,1,,,,
SY,27,B1,9709,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,,FALSE,P,FALSE,,0,1,,,,
YR,27,B3,2988,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,,
